STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,FRGT,FRTH,GAHT,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV20
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-11-11,20,30,,,,,,836,0,100,0,0,,60,31,,624,190,,,180,,,10.1,,,16.1,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-11-12,50,60,,,,,,1330,0,64,0,0,,68,44,,402,200,,,180,,,14.1,,,19.5,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-11-13,10,0,,,,,,1018,0,100,0,0,,73,48,,624,210,,,180,,,17.9,,,27.5,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-11-14,80,100,,,,,,1342,0,3,0,0,,76,60,,18,210,,,180,,,23,,,34.4,,,,,,,,,1,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-11-15,60,80,,,,,,1412,0.41,27,0,0,,79,51,,168,330,,,315,,,32,,,44.7,,,,1,,,,,,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-11-16,0,0,,,,,,142,0,100,0,0,,61,41,,618,350,,,360,,,13,,,17.2,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-11-17,20,10,,,,,,1106,0,99,0,0,,66,37,,612,140,,,135,,,14.1,,,19.5,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-11-18,90,90,,,,,,1100,0.88,10,0,0,,60,51,,66,160,,,180,,,23,,,31.1,,1,,1,,,,,,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-11-19,80,90,,,,,,2100,0,92,0,0,,74,52,,90,140,,,135,,,14.1,,,24.2,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-11-20,90,100,,,,,,1518,1.56,19,0,0,,71,58,,120,150,,,135,,,23.9,,,44.7,,,,1,,,,,,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-11-21,20,0,,,,,,336,0,97,0,0,,65,49,,594,240,,,225,,,17,,,33.3,,,,,,,,,,,,,,,,,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-11-22,60,70,,,,,,1400,0,81,0,0,,73,45,,492,150,,,180,,,13,,,18.3,,,,,,,,,,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-11-23,90,100,,,,,,2036,0,17,0,0,,77,65,,102,170,,,135,,,17.9,,,33.3,,1,,,,,,,,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-11-24,80,90,,,,,,2300,0.76,25,0,0,,79,64,,156,240,,,225,,,28,,,40.3,,,,,,,,,,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-11-25,40,20,,,,,,118,0.03,90,0,0,,68,55,,546,360,,,225,,,17,,,26.4,,,,,,,,,,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-11-26,100,100,,,,,,606,2.41,1,0,0,,73,63,,6,290,,,180,,,25.1,,,33.3,,,,1,,,,,,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-11-27,80,90,,,,,,1248,1.08,4,0,0,,71,53,,24,340,,,315,,,34.9,,,51.7,,1,,1,,1,,,,,,,,,,1,,,,,,
USW00013893,"MEMPHIS INTERNATIONAL AIRPORT, TN US",1973-11-28,30,40,,,,,,754,0,77,0,0,,53,42,,462,300,,,315,,,23,,,36.7,,,,,,,,,,,,,,,,,,,,,,
